SUBCOUNTY,YEAR,EVI,LST,NDVI,latitude,longitude,Quantity,Temperature,Rainfall,EVI_NDVI_ratio,Vegetation_index,LST_celsius,Temp_stress,Heat_index,Rainfall_per_temp,Water_stress,Years_since_start,Is_drought_year,Is_good_rain_year,Lat_long_interaction,SUBCOUNTY_encoded,Prev_year_quantity,Prev_year_EVI,Prev_year_rainfall,EVI_3yr_avg,Rainfall_3yr_avg,Yield_per_EVI,Yield_per_rainfall
Kwanza,2017,0.299519056,303.3761926,0.475752023,1.147892117,34.97926804,76950,19.561,1394.0,0.629568371654887,0.3876355395,30.226192600000047,0.010647136363633791,591.254553448601,71.26424665077211,14.032281195098793,4,0,0,40.15242604154604,3,11460.0,0.289580242,1254.7,0.294686545,1348.1333333333332,256911.0096587322,55.20086079253883
Kwanza,2018,0.294392019,299.9337472,0.474645533,1.147892117,34.97926804,115449,19.45,1626.0,0.6202342133193249,0.384518776,26.78374720000005,0.10035286363636686,520.943883040001,83.5989674242176,11.961869611339562,5,0,1,40.15242604154604,3,76950.0,0.299519056,1394.0,0.2944971056666667,1424.8999999999999,392159.4350034503,71.00184497478361
Kwanza,2019,0.276122988,301.153915,0.439635495,1.147892117,34.97926804,101990,20.325,1470.0,0.6280711249870192,0.3578792415,28.003915000000006,0.7746471363636331,569.1795723750001,72.32471968882068,13.826530602839092,6,0,0,40.15242604154604,3,115449.0,0.294392019,1626.0,0.29001135433333336,1496.6666666666667,369363.0558457674,69.38095233375445
Kwanza,2020,0.34066097,300.8159408,0.58253685,1.147892117,34.97926804,109989,19.4791667,2157.2,0.584787700919348,0.46159891,27.665940800000044,0.07118616363636576,538.9094727555322,110.74395134449198,9.029838072951124,7,0,1,40.15242604154604,3,101990.0,0.276122988,1470.0,0.30372532566666666,1751.0666666666666,322868.44346024306,50.98692747497362
Kwanza,2021,0.304457358,302.6892379,0.505481962,1.147892117,34.97926804,88489,19.7291667,1030.3,0.6023098321561232,0.40496966,29.539237900000046,0.17881383636363424,582.7845487200589,52.222172555206164,19.148953393041875,8,1,0,40.15242604154604,3,109989.0,0.34066097,2157.2,0.30708043866666673,1552.5,290644.01641422504,85.88663487733025
Kwanza,2022,0.278415823,299.9914899,0.441796328,1.147892117,34.97926804,48852,19.6625,1102.1,0.6301890150861211,0.3601060755,26.8414899,0.11214713636363527,527.77079515875,56.050855382028956,17.840940007403194,9,1,0,40.15242604154604,3,88489.0,0.304457358,1030.3,0.30784471700000005,1429.8666666666666,175463.53511835024,44.32628614070748
Kwanza,2023,0.324602857,302.8244376,0.558600554,1.147892117,34.97926804,89707,20.0677,1332.8,0.58109909411387,0.4416017055,29.674437600000033,0.5173471363636324,595.4977114255206,66.41518129057235,15.056797707790516,10,0,0,40.15242604154604,3,48852.0,0.278415823,1102.1,0.30249201266666664,1155.0666666666666,276358.3921308735,67.30717281864708
Saboti,2013,0.386969061,298.5621808,0.641354043,0.973806188,34.84540673,71868,19.475,1474.7,0.6033616874514854,0.514161552,25.412180800000044,0.07535286363636473,494.9022210800009,75.72271754953952,13.206075803074473,0,0,0,33.93267269705085,4,75986.5,0.3325061925,1394.85,0.386969061,1474.7,185719.79396617974,48.733979759453455
Saboti,2014,0.356184017,298.1898088,0.576576213,0.973806188,34.84540673,73855,18.816,1280.9,0.617755972607263,0.466380115,25.039808800000003,0.7343528636363672,471.14904238080004,68.07503889907319,14.689671313381469,1,0,0,33.93267269705085,4,71868.0,0.386969061,1474.7,0.371576539,1377.8000000000002,207350.10310666717,57.65867744737396
Saboti,2015,0.353871161,300.9536944,0.598603691,0.973806188,34.84540673,63113,19.6416667,1395.7,0.591160019826841,0.47623742599999996,27.80369440000004,0.0913138363636321,546.1108984334572,71.05812099651803,14.072986090081686,2,0,0,33.93267269705085,4,73855.0,0.356184017,1280.9,0.36567474633333336,1383.7666666666667,178349.71765411072,45.21960303416235
Saboti,2016,0.335690463,300.4563225,0.553122452,0.973806188,34.84540673,66225,18.8466814,1254.7,0.6068997106996649,0.44440645749999996,27.30632250000002,0.7036714636363648,514.6335603631519,66.57405125052672,15.020866649381631,3,0,0,33.93267269705085,4,63113.0,0.353871161,1395.7,0.3485818803333333,1310.4333333333334,197279.3690020053,52.78154136225269
Saboti,2017,0.325483274,301.2432543,0.522516983,0.973806188,34.84540673,7125,19.561,1394.0,0.6229130567550245,0.4240001285,28.093254300000012,0.010647136363633791,549.5321473623003,71.26424665077211,14.032281195098793,4,0,0,33.93267269705085,4,66225.0,0.335690463,1254.7,0.3383482993333333,1348.1333333333332,21890.458523350964,5.111190814123966
Saboti,2018,0.340163503,298.5014901,0.557495193,0.973806188,34.84540673,70720,19.45,1626.0,0.6101629163950182,0.448829348,25.351490100000035,0.10035286363636686,493.0864824450007,83.5989674242176,11.961869611339562,5,0,1,33.93267269705085,4,7125.0,0.325483274,1394.0,0.33377908,1424.8999999999999,207899.41153854024,43.493234905600715
Saboti,2019,0.311642911,300.3729213,0.508775301,0.973806188,34.84540673,58140,20.325,1470.0,0.6125342520621848,0.41020910600000005,27.222921299999996,0.7746471363636331,553.3058754224999,72.32471968882068,13.826530602839092,6,0,0,33.93267269705085,4,70720.0,0.340163503,1626.0,0.32576322933333335,1496.6666666666667,186559.07575232556,39.55102038125781
Saboti,2020,0.380463318,300.3910095,0.641010804,0.973806188,34.84540673,66600,19.4791667,2157.2,0.5935355879967539,0.5107370609999999,27.24100950000002,0.07118616363636576,530.632165126784,110.74395134449198,9.029838072951124,7,0,1,33.93267269705085,4,58140.0,0.311642911,1470.0,0.34408991066666667,1751.0666666666666,175049.26703796702,30.87335433391742
Saboti,2021,0.319988936,300.1751009,0.534588089,0.973806188,34.84540673,56140,19.7291667,1030.3,0.598569897112135,0.4272885125,27.02510090000004,0.17881383636363424,533.1827207404208,52.222172555206164,19.148953393041875,8,1,0,33.93267269705085,4,66600.0,0.380463318,2157.2,0.337365055,1552.5,175443.01768290615,54.48898373824227
Saboti,2022,0.300102215,295.643571,0.449011467,0.973806188,34.84540673,48852,19.6625,1102.1,0.6683605401985421,0.374556841,22.49357100000003,0.11214713636363527,442.27983978750063,56.050855382028956,17.840940007403194,9,1,0,33.93267269705085,4,56140.0,0.319988936,1030.3,0.3335181563333333,1429.8666666666666,162783.99416680692,44.32628614070748
Saboti,2023,0.370705089,301.4167908,0.631156391,0.973806188,34.84540673,73308,20.0677,1332.8,0.5873417538732426,0.50093074,28.266790800000024,0.5173471363636324,567.2494777371604,66.41518129057235,15.056797707790516,10,0,0,33.93267269705085,4,48852.0,0.300102215,1102.1,0.3302654133333333,1155.0666666666666,197752.34930117376,55.00300115921143
